entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Botswana,BWA,2019,11.51703021,12.1198812,2303703,,147,148,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.1,0.025,2019
Brazil,BRA,2015,14.77739847,18.44066781,204471759,South America,15,16,Brazil,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,2015
Brazil,BRA,2016,14.78266953,18.41748326,206163056,,16,17,Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,2016
Brazil,BRA,2017,14.78458829,18.40507956,207833825,,21,22,Brazil,Latin America and Caribbean,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,2017
Brazil,BRA,2018,14.78605045,18.41365893,209469320,,27,28,Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2018
Brazil,BRA,2019,14.78498848,18.43548817,211049519,,31,32,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2019
Bulgaria,BGR,2015,10.52771269,11.65154444,7199739,Europe,133,134,Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015
Bulgaria,BGR,2016,10.52983789,11.6391203,7151948,,128,129,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,2016
Bulgaria,BGR,2017,10.52774636,11.63768285,7102452,,104,105,Bulgaria,Central and Eastern Europe,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694,2017
Bulgaria,BGR,2018,10.51988713,11.64609187,7051610,,99,100,Bulgaria,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.009,0.064,2018
Bulgaria,BGR,2019,10.50879583,11.66191703,7000117,,96,97,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.004,0.081,2019
Burkina Faso,BFA,2015,11.73468107,11.95044093,18110616,Africa,151,152,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,2015
Burkina Faso,BFA,2016,11.72231625,11.95729258,18646350,,144,145,Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,2016
Burkina Faso,BFA,2017,11.70284807,11.95699218,19193236,,133,134,Burkina Faso,Sub-Saharan Africa,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.120328106,0.250864685,2017
Burkina Faso,BFA,2018,11.65023951,11.87685277,19751466,,120,121,Burkina Faso,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.128,0.175,2018
Burkina Faso,BFA,2019,11.54995972,11.71477223,20321383,,114,115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.113,0.177,2019
Burundi,BDI,2015,12.60984301,13.52137255,10160034,Africa,156,157,Burundi,Sub-Saharan Africa,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2015
Burundi,BDI,2016,12.62134077,13.54361777,10488002,,156,157,Burundi,Sub-Saharan Africa,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2016
Burundi,BDI,2017,12.62561976,13.55806904,10827010,,153,154,Burundi,Sub-Saharan Africa,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.084147945,0.204435185,2017
Burundi,BDI,2018,12.63650569,13.56093328,11175379,,155,156,Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.076,0.149,2018
Burundi,BDI,2019,12.66620151,13.55643616,11530577,,144,145,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.18,0.176,2019
Cambodia,KHM,2015,11.58634971,13.21311645,15521435,Asia,144,145,Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015
Cambodia,KHM,2016,11.5481682,13.18173548,15766290,,139,140,Cambodia,Southeastern Asia,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,2016
Cambodia,KHM,2017,11.51852074,13.14738439,16009413,,128,129,Cambodia,Southeastern Asia,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.068105951,0.385922968,2017
Cambodia,KHM,2018,11.49359697,13.11411288,16249795,,119,120,Cambodia,Southeastern Asia,4.433,0.549,1.088,0.457,0.696,0.065,0.256,2018
Cambodia,KHM,2019,11.47712532,13.08384138,16486542,,108,109,Cambodia,Southeastern Asia,4.7,0.574,1.122,0.637,0.609,0.062,0.232,2019
Cameroon,CMR,2015,11.47583935,12.26360929,23298376,Africa,132,133,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,2015
Cameroon,CMR,2016,11.46958794,12.26277104,23926549,,113,114,Cameroon,Sub-Saharan Africa,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2016
Cameroon,CMR,2017,11.45969989,12.27789768,24566070,,106,107,Cameroon,Sub-Saharan Africa,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.051306631,0.236298457,2017
Cameroon,CMR,2018,11.46293311,12.27414866,25216261,,98,99,Cameroon,Sub-Saharan Africa,4.975,0.535,0.891,0.182,0.454,0.043,0.183,2018
Cameroon,CMR,2019,11.47428164,12.26104442,25876387,,95,96,Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.037,0.187,2019
Canada,CAN,2015,15.30126309,14.56432897,36026668,North America,4,5,Canada,North America,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2015
Canada,CAN,2016,15.29666037,14.56338528,36382942,,5,6,Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2016
Canada,CAN,2017,15.30039977,14.56530431,36732091,,6,7,Canada,North America,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722,2017
Canada,CAN,2018,15.30216173,14.55776748,37074558,,6,7,Canada,North America,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2018
Canada,CAN,2019,15.31023081,14.55095752,37411038,,8,9,Canada,North America,7.278,1.365,1.505,1.039,0.584,0.308,0.285,2019
Central African Republic,CAF,2015,14.07848317,14.93075073,4493171,Africa,147,148,Central African Republic,Sub-Saharan Africa,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,2015
Central African Republic,CAF,2017,14.16256413,14.99009284,4596023,,154,155,Central African Republic,Sub-Saharan Africa,2.693000078,0,0,0.018772686,0.270842046,0.056565076,0.280876487,2017
Central African Republic,CAF,2018,14.1927389,15.0037866,4666375,,154,155,Central African Republic,Sub-Saharan Africa,3.083,0.024,0,0.01,0.305,0.038,0.218,2018
Central African Republic,CAF,2019,14.21401528,15.00871132,4745179,,154,155,Central African Republic,Sub-Saharan Africa,3.083,0.026,0,0.105,0.225,0.035,0.235,2019
Chad,TCD,2015,12.08106926,13.17755211,14110971,Africa,148,149,Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,2015
Chad,TCD,2016,12.07543273,13.17836847,14561658,,143,144,Chad,Sub-Saharan Africa,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2016
Chad,TCD,2017,12.07342865,13.18347095,15016761,,136,137,Chad,Sub-Saharan Africa,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.053581882,0.21611385,2017
Chad,TCD,2018,12.09009634,13.18554196,15477727,,130,131,Chad,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.06,0.181,2018
Chad,TCD,2019,12.1256217,13.19310202,15946882,,131,132,Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.078,0.198,2019
Chile,CHL,2015,13.13088986,17.34755047,17969356,South America,26,27,Chile,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2015
Chile,CHL,2016,13.14298959,17.32455997,18209072,,23,24,Chile,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2016
Chile,CHL,2017,13.15325637,17.29137156,18470435,,19,20,Chile,Latin America and Caribbean,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421,2017
Chile,CHL,2018,13.11826902,17.24477388,18729166,,24,25,Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2018
Chile,CHL,2019,13.0425208,17.1555692,18952035,,25,26,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.056,0.187,2019
China,CHN,2015,11.47801999,10.97148244,1406847868,Asia,83,84,China,Eastern Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,2015
China,CHN,2016,11.52155764,11.02884227,1414049353,,82,83,China,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2016
China,CHN,2017,11.57200072,11.08678613,1421021794,,78,79,China,Eastern Asia,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,2017
China,CHN,2018,11.56855252,11.05741034,1427647789,,85,86,China,Eastern Asia,5.246,0.989,1.142,0.799,0.597,0.103,0.029,2018
China,CHN,2019,11.53219431,10.97165061,1433783692,,92,93,China,Eastern Asia,5.191,1.029,1.125,0.893,0.521,0.1,0.058,2019
Colombia,COL,2015,11.31506063,11.33770449,47520667,South America,32,33,Colombia,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2015
Colombia,COL,2016,11.57021768,11.72237183,48175048,,30,31,Colombia,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,2016
Colombia,COL,2017,11.83410997,12.11209324,48909844,,35,36,Colombia,Latin America and Caribbean,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473,2017
Colombia,COL,2018,11.86074089,12.14437298,49661056,,36,37,Colombia,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2018
Colombia,COL,2019,11.88217455,12.16162643,50339443,,42,43,Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.034,0.099,2019
Comoros,COM,2015,11.75118089,12.49135449,777435,Africa,139,140,Comoros,Sub-Saharan Africa,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,2015
