entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Bosnia and Herzegovina,BIH,2016,10.78341451,12.11804759,3386263,,86,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2016
Bosnia and Herzegovina,BIH,2017,10.77150358,12.10155223,3351534,,89,90,Bosnia and Herzegovina,Central and Eastern Europe,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0,0.328867495,2017
Bosnia and Herzegovina,BIH,2018,10.76161074,12.11721739,3323929,,92,93,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0,0.216,2018
Bosnia and Herzegovina,BIH,2019,10.74975695,12.15666927,3300998,,77,78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.006,0.263,2019
Bosnia and Herzegovina,BIH,2020,,,3280815,,68,69,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.001172487,0.264005244,2020
Bosnia and Herzegovina,BIH,2021,,,3263459,,63,64,Bosnia and Herzegovina,Central and Eastern Europe,5.813,1.032,0.919,0.618,0.395,0.005,0.261,2021
Botswana,BWA,2015,11.49006983,12.10191885,2120716,Africa,127,128,Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,2015
Botswana,BWA,2016,11.49121714,12.12938461,2159925,,136,137,Botswana,Sub-Saharan Africa,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,2016
Botswana,BWA,2017,11.49463762,12.14910516,2205076,,141,142,Botswana,Sub-Saharan Africa,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448,2017
Botswana,BWA,2018,11.50383528,12.14346165,2254067,,145,146,Botswana,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.092,0.042,2018
Botswana,BWA,2019,11.51703021,12.1198812,2303703,,147,148,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.1,0.025,2019
Botswana,BWA,2020,,,2351625,,146,147,Botswana,Sub-Saharan Africa,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.101786368,0.033407487,2020
Botswana,BWA,2021,,,2397240,,145,146,Botswana,Sub-Saharan Africa,3.467,1.099,0.724,0.34,0.539,0.088,0.027,2021
Brazil,BRA,2015,14.77739847,18.44066781,204471759,South America,15,16,Brazil,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,2015
Brazil,BRA,2016,14.78266953,18.41748326,206163056,,16,17,Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,2016
Brazil,BRA,2017,14.78458829,18.40507956,207833825,,21,22,Brazil,Latin America and Caribbean,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,2017
Brazil,BRA,2018,14.78605045,18.41365893,209469320,,27,28,Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2018
Brazil,BRA,2019,14.78498848,18.43548817,211049519,,31,32,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2019
Brazil,BRA,2020,,,212559409,,31,32,Brazil,Latin America and Caribbean,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.106518604,0.131674588,2020
Brazil,BRA,2021,,,213993441,,34,35,Brazil,Latin America and Caribbean,6.33,1.028,0.944,0.571,0.514,0.117,0.142,2021
Bulgaria,BGR,2015,10.52771269,11.65154444,7199739,Europe,133,134,Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015
